word,count,rank,In Top,letter score,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
raise,21099943,542,1000,4.61050,0.981,0,0,0,0.984,0,0,0,0.848,0,0,0,0,0,0,0,0,0.871,0.927,0,0,0,0,0,0,0
laser,34080740,398,1000,4.46454,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0,0,0,0,0.871,0.927,0,0,0,0,0,0,0
rates,137089538,108,1000,4.45705,0.981,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0.871,0.927,0.694,0,0,0,0,0,0
tears,9274206,959,1000,4.45705,0.981,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0.871,0.927,0.694,0,0,0,0,0,0
noise,25171520,489,1000,4.38130,0,0,0,0,0.984,0,0,0,0.848,0,0,0,0,0.776,0.847,0,0,0,0.927,0,0,0,0,0,0,0
roles,13171507,755,1000,4.33014,0,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0,0.847,0,0,0.871,0.927,0,0,0,0,0,0,0
solar,20423792,553,1000,4.32729,0.981,0,0,0,0,0,0,0,0,0,0,0.702,0,0,0.847,0,0,0.871,0.927,0,0,0,0,0,0,0
store,291308910,29,1000,4.32264,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0.847,0,0,0.871,0.927,0.694,0,0,0,0,0,0
learn,179428286,80,1000,4.31342,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0.776,0,0,0,0.871,0,0,0,0,0,0,0,0
alien,10490554,873,1000,4.29054,0.981,0,0,0,0.984,0,0,0,0.848,0,0,0.702,0,0.776,0,0,0,0,0,0,0,0,0,0,0,0
alone,39326417,343,1000,4.28915,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0.776,0.847,0,0,0,0,0,0,0,0,0,0,0
least,111229798,142,1000,4.28821,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0,0,0,0,0,0.927,0.694,0,0,0,0,0,0
tales,11222332,832,1000,4.28821,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0,0,0,0,0,0.927,0.694,0,0,0,0,0,0
trans,14243681,705,1000,4.24926,0.981,0,0,0,0,0,0,0,0,0,0,0,0,0.776,0,0,0,0.871,0.927,0.694,0,0,0,0,0,0
acres,14208905,707,1000,4.24321,0.981,0,0.481,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0.871,0.927,0,0,0,0,0,0,0
races,9715279,922,1000,4.24321,0.981,0,0.481,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0.871,0.927,0,0,0,0,0,0,0
ratio,26457942,469,1000,4.24059,0.981,0,0,0,0,0,0,0,0.848,0,0,0,0,0,0.847,0,0,0.871,0,0.694,0,0,0,0,0,0
lines,76806341,206,1000,4.23672,0,0,0,0,0.984,0,0,0,0.848,0,0,0.702,0,0.776,0,0,0,0,0.927,0,0,0,0,0,0,0
loans,80821333,195,1000,4.23249,0.981,0,0,0,0,0,0,0,0,0,0,0.702,0,0.776,0.847,0,0,0,0.927,0,0,0,0,0,0,0
salon,10079006,891,1000,4.23249,0.981,0,0,0,0,0,0,0,0,0,0,0.702,0,0.776,0.847,0,0,0,0.927,0,0,0,0,0,0,0
later,84857974,184,1000,4.23188,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0,0,0,0,0.871,0,0.694,0,0,0,0,0,0
alert,32472727,414,1000,4.23188,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0,0,0,0,0,0.871,0,0.694,0,0,0,0,0,0
notes,79958318,198,1000,4.22784,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0.776,0.847,0,0,0,0.927,0.694,0,0,0,0,0,0
stone,42494931,326,1000,4.22784,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0.776,0.847,0,0,0,0.927,0.694,0,0,0,0,0,0
tones,13373535,750,1000,4.22784,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0.776,0.847,0,0,0,0.927,0.694,0,0,0,0,0,0
saint,38929141,345,1000,4.22638,0.981,0,0,0,0,0,0,0,0.848,0,0,0,0,0.776,0,0,0,0,0.927,0.694,0,0,0,0,0,0
reads,13174104,754,1000,4.22494,0.981,0,0,0.462,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0.871,0.927,0,0,0,0,0,0,0
ideas,67309657,221,1000,4.20206,0.981,0,0,0.462,0.984,0,0,0,0.848,0,0,0,0,0,0,0,0,0,0.927,0,0,0,0,0,0,0
aside,11768649,808,1000,4.20206,0.981,0,0,0.462,0.984,0,0,0,0.848,0,0,0,0,0,0,0,0,0,0.927,0,0,0,0,0,0,0
inter,15269346,667,1000,4.17290,0,0,0,0,0.984,0,0,0,0.848,0,0,0,0,0.776,0,0,0,0.871,0,0.694,0,0,0,0,0,0
toner,10508427,870,1000,4.17152,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0.776,0.847,0,0,0.871,0,0.694,0,0,0,0,0,0
train,31816971,423,1000,4.17006,0.981,0,0,0,0,0,0,0,0.848,0,0,0,0,0.776,0,0,0,0.871,0,0.694,0,0,0,0,0,0
share,119294241,136,1000,4.14030,0.981,0,0,0,0.984,0,0,0.378,0,0,0,0,0,0,0,0,0,0.871,0.927,0,0,0,0,0,0,0
marie,12862466,766,1000,4.12637,0.981,0,0,0,0.984,0,0,0,0.848,0,0,0,0.443,0,0,0,0,0.871,0,0,0,0,0,0,0,0
spare,10009522,897,1000,4.11097,0.981,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0,0.348,0,0.871,0.927,0,0,0,0,0,0,0
means,105946662,149,1000,4.11078,0.981,0,0,0,0.984,0,0,0,0,0,0,0,0.443,0.776,0,0,0,0,0.927,0,0,0,0,0,0,0
names,71918906,213,1000,4.11078,0.981,0,0,0,0.984,0,0,0,0,0,0,0,0.443,0.776,0,0,0,0,0.927,0,0,0,0,0,0,0
score,69315004,218,1000,4.10881,0,0,0.481,0,0.984,0,0,0,0,0,0,0,0,0,0.847,0,0,0.871,0.927,0,0,0,0,0,0,0
years,337841309,20,1000,4.10162,0.981,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0.871,0.927,0,0,0,0,0,0.339,0
trial,56547673,263,1000,4.09601,0.981,0,0,0,0,0,0,0,0.848,0,0,0.702,0,0,0,0,0,0.871,0,0.694,0,0,0,0,0,0
trail,23648838,502,1000,4.09601,0.981,0,0,0,0,0,0,0,0.848,0,0,0.702,0,0,0,0,0,0.871,0,0.694,0,0,0,0,0,0
roads,15093621,670,1000,4.08768,0.981,0,0,0.462,0,0,0,0,0,0,0,0,0,0,0.847,0,0,0.871,0.927,0,0,0,0,0,0,0
scale,46307526,303,1000,4.07437,0.981,0,0.481,0,0.984,0,0,0,0,0,0,0.702,0,0,0,0,0,0,0.927,0,0,0,0,0,0,0
bears,22926868,508,1000,4.07177,0.981,0.309,0,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0.871,0.927,0,0,0,0,0,0,0
ocean,31928741,420,1000,4.06783,0.981,0,0.481,0,0.984,0,0,0,0,0,0,0,0,0.776,0.847,0,0,0,0,0,0,0,0,0,0,0
deals,91189968,170,1000,4.05610,0.981,0,0,0.462,0.984,0,0,0,0,0,0,0.702,0,0,0,0,0,0,0.927,0,0,0,0,0,0,0
leads,30507300,438,1000,4.05610,0.981,0,0,0.462,0.984,0,0,0,0,0,0,0.702,0,0,0,0,0,0,0.927,0,0,0,0,0,0,0
dates,38442243,349,1000,4.04860,0.981,0,0,0.462,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927,0.694,0,0,0,0,0,0
meals,11515834,820,1000,4.03674,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0.443,0,0,0,0,0,0.927,0,0,0,0,0,0,0
salem,9735569,918,1000,4.03674,0.981,0,0,0,0.984,0,0,0,0,0,0,0.702,0.443,0,0,0,0,0,0.927,0,0,0,0,0,0,0
intro,11938092,800,1000,4.03565,0,0,0,0,0,0,0,0,0.848,0,0,0,0,0.776,0.847,0,0,0.871,0,0.694,0,0,0,0,0,0
anime,31334688,427,1000,4.03158,0.981,0,0,0,0.984,0,0,0,0.848,0,0,0,0.443,0.776,0,0,0,0,0,0,0,0,0,0,0,0
maine,26049821,472,1000,4.03158,0.981,0,0,0,0.984,0,0,0,0.848,0,0,0,0.443,0.776,0,0,0,0,0,0,0,0,0,0,0,0
opera,18225169,592,1000,4.03038,0.981,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0.847,0.348,0,0.871,0,0,0,0,0,0,0,0
teams,34383288,394,1000,4.02924,0.981,0,0,0,0.984,0,0,0,0,0,0,0,0.443,0,0,0,0,0,0.927,0.694,0,0,0,0,0,0
steam,11141309,839,1000,4.02924,0.981,0,0,0,0.984,0,0,0,0,0,0,0,0.443,0,0,0,0,0,0.927,0.694,0,0,0,0,0,0
clear,88447610,176,1000,4.01805,0.981,0,0.481,0,0.984,0,0,0,0,0,0,0.702,0,0,0,0,0,0.871,0,0,0,0,0,0,0,0
since,214302926,59,1000,4.01539,0,0,0.481,0,0.984,0,0,0,0.848,0,0,0,0,0.776,0,0,0,0,0.927,0,0,0,0,0,0,0
trace,11697252,812,1000,4.01055,0.981,0,0.481,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0.871,0,0.694,0,0,0,0,0,0
radio,113285624,138,1000,4.00848,0.981,0,0,0.462,0,0,0,0,0.848,0,0,0,0,0,0.847,0,0,0.871,0,0,0,0,0,0,0,0
horse,58453720,253,1000,4.00589,0,0,0,0,0.984,0,0,0.378,0,0,0,0,0,0,0.847,0,0,0.871,0.927,0,0,0,0,0,0,0
shore,12568485,781,1000,4.00589,0,0,0,0,0.984,0,0,0.378,0,0,0,0,0,0,0.847,0,0,0.871,0.927,0,0,0,0,0,0,0
intel,28995654,451,1000,4.00406,0,0,0,0,0.984,0,0,0,0.848,0,0,0.702,0,0.776,0,0,0,0,0,0.694,0,0,0,0,0,0
latin,36548259,372,1000,4.00121,0.981,0,0,0,0,0,0,0,0.848,0,0,0.702,0,0.776,0,0,0,0,0,0.694,0,0,0,0,0,0
nurse,16772151,625,1000,3.99833,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0.776,0,0,0,0.871,0.927,0,0.441,0,0,0,0,0
nodes,11208722,834,1000,3.99573,0,0,0,0.462,0.984,0,0,0,0,0,0,0,0,0.776,0.847,0,0,0,0.927,0,0,0,0,0,0,0
alice,11994061,799,1000,3.99517,0.981,0,0.481,0,0.984,0,0,0,0.848,0,0,0.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trade,110086585,143,1000,3.99227,0.981,0,0,0.462,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0.871,0,0.694,0,0,0,0,0,0
rated,59102029,251,1000,3.99227,0.981,0,0,0.462,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0.871,0,0.694,0,0,0,0,0,0
mario,9447559,946,1000,3.98912,0.981,0,0,0,0,0,0,0,0.848,0,0,0,0.443,0,0.847,0,0,0.871,0,0,0,0,0,0,0,0
ideal,26036289,473,1000,3.97689,0.981,0,0,0.462,0.984,0,0,0,0.848,0,0,0.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paris,48831449,295,1000,3.97510,0.981,0,0,0,0,0,0,0,0.848,0,0,0,0,0,0,0.348,0,0.871,0.927,0,0,0,0,0,0,0
pairs,9432115,948,1000,3.97510,0.981,0,0,0,0,0,0,0,0.848,0,0,0,0,0,0,0.348,0,0.871,0.927,0,0,0,0,0,0,0
mason,9461838,943,1000,3.97353,0.981,0,0,0,0,0,0,0,0,0,0,0,0.443,0.776,0.847,0,0,0,0.927,0,0,0,0,0,0,0
email,443949646,12,1000,3.95753,0.981,0,0,0,0.984,0,0,0,0.848,0,0,0.702,0.443,0,0,0,0,0,0,0,0,0,0,0,0,0
saver,10258158,884,1000,3.94435,0.981,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0.871,0.927,0,0,0.182,0,0,0,0
