word,count,Rank,in Top,letter score,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
raise,21099943,518,2000,15342.00000,3359.000,0,0,0,3624.000,0,0,0,2268.000,0,0,0,0,0,0,0,0,2563.000,3528.000,0,0,0,0,0,0,0
arise,8337093,944,2000,15342.00000,3359.000,0,0,0,3624.000,0,0,0,2268.000,0,0,0,0,0,0,0,0,2563.000,3528.000,0,0,0,0,0,0,0
rates,137089538,108,2000,15085.00000,3359.000,0,0,0,3624.000,0,0,0,0,0,0,0,0,0,0,0,0,2563.000,3528.000,2011.000,0,0,0,0,0,0
tears,9274206,886,2000,15085.00000,3359.000,0,0,0,3624.000,0,0,0,0,0,0,0,0,0,0,0,0,2563.000,3528.000,2011.000,0,0,0,0,0,0
laser,34080740,388,2000,15081.00000,3359.000,0,0,0,3624.000,0,0,0,0,0,0,2007.000,0,0,0,0,0,2563.000,3528.000,0,0,0,0,0,0,0
least,111229798,142,2000,14529.00000,3359.000,0,0,0,3624.000,0,0,0,0,0,0,2007.000,0,0,0,0,0,0,3528.000,2011.000,0,0,0,0,0,0
tales,11222332,779,2000,14529.00000,3359.000,0,0,0,3624.000,0,0,0,0,0,0,2007.000,0,0,0,0,0,0,3528.000,2011.000,0,0,0,0,0,0
reads,13174104,710,2000,14489.00000,3359.000,0,0,1415.000,3624.000,0,0,0,0,0,0,0,0,0,0,0,0,2563.000,3528.000,0,0,0,0,0,0,0
acres,14208905,666,2000,14406.00000,3359.000,0,1332.000,0,3624.000,0,0,0,0,0,0,0,0,0,0,0,0,2563.000,3528.000,0,0,0,0,0,0,0
races,9715279,859,2000,14406.00000,3359.000,0,1332.000,0,3624.000,0,0,0,0,0,0,0,0,0,0,0,0,2563.000,3528.000,0,0,0,0,0,0,0
spare,10009522,836,2000,14231.00000,3359.000,0,0,0,3624.000,0,0,0,0,0,0,0,0,0,0,1157.000,0,2563.000,3528.000,0,0,0,0,0,0,0
years,337841309,20,2000,14226.00000,3359.000,0,0,0,3624.000,0,0,0,0,0,0,0,0,0,0,0,0,2563.000,3528.000,0,0,0,0,0,1152.000,0
ideas,67309657,220,2000,14194.00000,3359.000,0,0,1415.000,3624.000,0,0,0,2268.000,0,0,0,0,0,0,0,0,0,3528.000,0,0,0,0,0,0,0
aside,11768649,757,2000,14194.00000,3359.000,0,0,1415.000,3624.000,0,0,0,2268.000,0,0,0,0,0,0,0,0,0,3528.000,0,0,0,0,0,0,0
store,291308910,29,2000,14180.00000,0,0,0,0,3624.000,0,0,0,0,0,0,0,0,0,2454.000,0,0,2563.000,3528.000,2011.000,0,0,0,0,0,0
share,119294241,136,2000,14179.00000,3359.000,0,0,0,3624.000,0,0,1105.000,0,0,0,0,0,0,0,0,0,2563.000,3528.000,0,0,0,0,0,0,0
roles,13171507,711,2000,14176.00000,0,0,0,0,3624.000,0,0,0,0,0,0,2007.000,0,0,2454.000,0,0,2563.000,3528.000,0,0,0,0,0,0,0
bears,22926868,490,2000,14049.00000,3359.000,975.000,0,0,3624.000,0,0,0,0,0,0,0,0,0,0,0,0,2563.000,3528.000,0,0,0,0,0,0,0
tries,8236889,955,2000,13994.00000,0,0,0,0,3624.000,0,0,0,2268.000,0,0,0,0,0,0,0,0,2563.000,3528.000,2011.000,0,0,0,0,0,0
tires,8007166,969,2000,13994.00000,0,0,0,0,3624.000,0,0,0,2268.000,0,0,0,0,0,0,0,0,2563.000,3528.000,2011.000,0,0,0,0,0,0
dates,38442243,340,2000,13937.00000,3359.000,0,0,1415.000,3624.000,0,0,0,0,0,0,0,0,0,0,0,0,0,3528.000,2011.000,0,0,0,0,0,0
deals,91189968,169,2000,13933.00000,3359.000,0,0,1415.000,3624.000,0,0,0,0,0,0,2007.000,0,0,0,0,0,0,3528.000,0,0,0,0,0,0,0
leads,30507300,426,2000,13933.00000,3359.000,0,0,1415.000,3624.000,0,0,0,0,0,0,2007.000,0,0,0,0,0,0,3528.000,0,0,0,0,0,0,0
solar,20423792,528,2000,13911.00000,3359.000,0,0,0,0,0,0,0,0,0,0,2007.000,0,0,2454.000,0,0,2563.000,3528.000,0,0,0,0,0,0,0
scale,46307526,298,2000,13850.00000,3359.000,0,1332.000,0,3624.000,0,0,0,0,0,0,2007.000,0,0,0,0,0,0,3528.000,0,0,0,0,0,0,0
noise,25171520,472,2000,13748.00000,0,0,0,0,3624.000,0,0,0,2268.000,0,0,0,0,1874.000,2454.000,0,0,0,3528.000,0,0,0,0,0,0,0
